pt,channel,roi_group,state,n_clips,slow,delta,theta,spindle,beta,gamma
sub-RID0371,RA01-RA02,amygdala,W,4,0.6534230707251703,0.4520115233401119,0.17823648762940783,0.043504242529787567,0.03928837078676454,0.01570736646116241
sub-RID0371,RA02-RA03,amygdala,W,4,0.6877429398788347,0.4708124233710214,0.15409802084518176,0.042121374292082944,0.039042541516001276,0.0208918227028553
sub-RID0371,RA06-RA07,temporal_neocortex,W,4,0.6444195336236462,0.4231668538504714,0.16595140401165542,0.044495520322555326,0.019406204024040755,0.005564661095308255
sub-RID0371,RA07-RA08,temporal_neocortex,W,4,0.4466273142142234,0.3461590081311975,0.28922670538468237,0.06439821531426725,0.04313266039973781,0.011627376360487203
sub-RID0371,RA08-RA09,temporal_neocortex,W,4,0.2858004662230551,0.2333017365717967,0.2863191658381796,0.12445557661064471,0.10478369018758506,0.024459735103221792
sub-RID0371,RA09-RA10,temporal_neocortex,W,4,0.5480290695823302,0.42479609702675947,0.23779302279131223,0.05530928484933657,0.025116872651037445,0.005039138628099713
sub-RID0371,RA10-RA11,temporal_neocortex,W,4,0.4641236060061775,0.3268821693709381,0.18032751084595183,0.09123176407647933,0.08928564195361532,0.031919762678802664
sub-RID0371,RB01-RB02,hippocampal,W,4,0.4315392562627422,0.3296393512029575,0.24735702812114974,0.08507998433768833,0.09484559119558061,0.05207858487656354
sub-RID0371,RB02-RB03,hippocampal,W,4,0.46855515664767744,0.4013546765443816,0.27495814951960446,0.05978005929831715,0.06326671493465057,0.06805961794346362
sub-RID0371,RB03-RB04,hippocampal,W,4,0.4153739383135857,0.35217964715374317,0.370691586519241,0.04458425025818816,0.055993727326033485,0.033613939244498535
sub-RID0371,RB09-RB10,temporal_neocortex,W,4,0.2988484412047022,0.22529298115963614,0.2227166218669692,0.13003262340328228,0.08515710775368258,0.012830482193964897
sub-RID0371,RB10-RB11,temporal_neocortex,W,4,0.26310065331928884,0.2083798056595482,0.343555780283475,0.09823948020967184,0.06931814292501282,0.0069467642701198035
sub-RID0371,RB11-RB12,temporal_neocortex,W,4,0.2892756884925763,0.21951608120386013,0.33216550728900834,0.09450690879428306,0.10042775186816677,0.027997200410144252
sub-RID0371,LA01-LA02,amygdala,N2,8,0.805260979585531,0.5968684904388613,0.09853801273699772,0.022933477789638754,0.017183651518774545,0.012451606273209685
sub-RID0371,LA02-LA03,amygdala,N2,8,0.6667917803583046,0.5410519610510425,0.16983810537525298,0.04202628119328617,0.02776044193433281,0.017315574516035603
sub-RID0371,LA03-LA04,amygdala,N2,8,0.75193130058323,0.3663880166697821,0.0840579680526789,0.026087009806818856,0.03902980781858576,0.05772089297559639
sub-RID0371,LA05-LA06,temporal_neocortex,N2,8,0.759071849296104,0.5330692595174892,0.10029223740175695,0.04105563636307532,0.017850168404524875,0.004512188586333269
sub-RID0371,LA06-LA07,temporal_neocortex,N2,8,0.5240497482154832,0.3927344899949147,0.1751209271172889,0.09673562857936491,0.035156175606670455,0.004213953816546989
sub-RID0371,LA07-LA08,temporal_neocortex,N2,8,0.603521693330594,0.45213603397214286,0.1667180243056453,0.07059420707573706,0.02185461354080761,0.0037197443366353143
sub-RID0371,LA08-LA09,temporal_neocortex,N2,8,0.5061937415498792,0.38333547261793693,0.1677284149197686,0.10635184782055954,0.05808733872217566,0.009569796505626893
sub-RID0371,LA09-LA10,temporal_neocortex,N2,8,0.4092928501453373,0.34640956203473716,0.3020602673960612,0.08117342659428171,0.03203780527685268,0.0017395443647089804
sub-RID0371,LB01-LB02,amygdala,N2,8,0.6081632046127656,0.345694372474049,0.12977041796132965,0.0627798824115478,0.07537240028332609,0.08972588674074239
sub-RID0371,LB05-LB06,temporal_neocortex,N2,8,0.6547618929198923,0.4715296557192538,0.1574498852644641,0.05004423007254061,0.0227273230226263,0.003955651154618639
sub-RID0371,LB06-LB07,temporal_neocortex,N2,8,0.6742285906837897,0.43480250802080234,0.1345686251105569,0.052152331054213893,0.03843713939828709,0.008966837061366651
sub-RID0371,LB07-LB08,temporal_neocortex,N2,8,0.776561302179083,0.41856826008177356,0.08903904055260643,0.04006408059152931,0.022307307457764818,0.002451850931413254
sub-RID0371,LB08-LB09,temporal_neocortex,N2,8,0.7167530489865355,0.3624385281718543,0.08276733624357817,0.06429267961169324,0.04552244871539843,0.0036040775948004895
sub-RID0371,LB09-LB10,temporal_neocortex,N2,8,0.7593189553275248,0.43125871373012953,0.10102122638266253,0.04333914075432309,0.026396006536634167,0.0013990718059796626
sub-RID0371,LC07-LC08,temporal_neocortex,N2,8,0.4945403057088309,0.32168401877748753,0.16632079499271632,0.11526616742345835,0.08308637771843845,0.009028450876614625
sub-RID0371,LC08-LC09,temporal_neocortex,N2,8,0.5894246275703445,0.40605509843131005,0.14895311770867706,0.08482485310571317,0.054070484905038144,0.0068891223645938995
sub-RID0371,LC09-LC10,temporal_neocortex,N2,8,0.4131080890840195,0.2802912111082251,0.21159611500839645,0.09994471298729135,0.09110937107780832,0.0239491891427015
sub-RID0371,LC10-LC11,temporal_neocortex,N2,8,0.508793037000123,0.34079482463596733,0.20970968471853313,0.07177492972778124,0.05031207132606305,0.008975957686486307
sub-RID0371,LC11-LC12,temporal_neocortex,N2,8,0.6362706765614441,0.4596589570443398,0.18985047547615214,0.04059853764838552,0.026006998071113188,0.00502527460080859
sub-RID0371,RA01-RA02,amygdala,N2,8,0.7966754616930543,0.6083836158348563,0.09973788028691008,0.02585775933727829,0.01686666693806111,0.007868634406165661
sub-RID0371,RA02-RA03,amygdala,N2,8,0.753971687913582,0.5341457807457131,0.11461789760518205,0.036862035603581325,0.025209222065515124,0.01627498516428829
sub-RID0371,RA06-RA07,temporal_neocortex,N2,8,0.610555206647346,0.3722616458158209,0.2084343721460562,0.032062756509340776,0.014720636700320108,0.004327763613351462
sub-RID0371,RA07-RA08,temporal_neocortex,N2,8,0.4290904700690833,0.33045030978014833,0.29529603418506,0.0692869924323113,0.03842658650943918,0.009223625953326582
sub-RID0371,RA08-RA09,temporal_neocortex,N2,8,0.35121594574931086,0.26868644982181394,0.2783361778268444,0.09523972394787072,0.0629028256913954,0.008262554337664443
sub-RID0371,RA09-RA10,temporal_neocortex,N2,8,0.5539949525615395,0.4055378873243449,0.234353166822529,0.05317765809641957,0.018592280202245796,0.001672552435299803
sub-RID0371,RA10-RA11,temporal_neocortex,N2,8,0.47567368281858435,0.3356844277261767,0.2220658639770013,0.08174199147561349,0.07043420033087386,0.010719566468685902
sub-RID0371,RB01-RB02,hippocampal,N2,8,0.7019133440469421,0.5398941145652199,0.12235795020843286,0.04740573140868905,0.05545441943010643,0.025126494236515706
sub-RID0371,RB02-RB03,hippocampal,N2,8,0.6236904436511203,0.5124286918640298,0.1391007233542195,0.07820191440757182,0.05301825271622139,0.041199990003796316
